match_name,franchise,label,sponsor_name,sponsor_asset_type,sponsor_asset_location,sponsor_asset_visibility,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AvonCycles_trousers_logo_clear,AvonCycles,trousers,logo,clear,0.873639166,624.1384277,725.4684448,782.1306152,840.2503052
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,kshema_trousers_logo_clear,kshema,trousers,logo,clear,0.443367183,428.9212036,712.6699219,579.1564331,813.8752441
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AvonCycles_trousers_logo_clear,AvonCycles,trousers,logo,clear,0.343711853,431.1072388,708.6646729,574.4225464,809.9049072
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,KentMineralRO_jersey_chest_logo_clear,KentMineralRO,jersey,chest_logo,clear,0.2929869,518.0760498,293.8474121,639.5463867,362.2164917
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AvonCycles_trousers_logo_partially_visible,AvonCycles,trousers,logo_partially,visible,0.215089321,620.159668,732.7890625,782.0961914,839.2868652
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,KentMineralRO_jersey_chest_logo_partially_visible,KentMineralRO,jersey,chest_logo_partially,visible,0.193782344,510.082428,298.2344055,636.7381592,362.091217
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_clear,Dream11,jersey,chest_logo,clear,0.174596429,503.2798157,342.2046509,775.4147949,493.7495117
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AvonCycles_trousers_logo_partially_visible,AvonCycles,trousers,logo_partially,visible,0.171971589,430.8083496,714.6950073,583.4038086,814.2140503
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,kshema_trousers_logo_obstructed,kshema,trousers,logo,obstructed,0.10957814,621.1680908,732.2372437,781.0748291,841.4296265
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_sleeve_logo_clear,AllSeasons,jersey,sleeve_logo,clear,0.594509661,523.0405273,221.3922729,621.8911133,293.4018555
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_sleeve_logo_partially_visible,AllSeasons,jersey,sleeve_logo_partially,visible,0.308103412,523.1547852,228.5216675,623.9542236,295.0348511
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.107352361,531.1942139,284.5533142,604.40979,347.2116394
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,KentMineralRO_jersey_chest_logo_obstructed,KentMineralRO,jersey,chest_logo,obstructed,0.590569377,605.9208984,286.2139282,656.2755127,357.8536987
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AvonCycles_trousers_logo_clear,AvonCycles,trousers,logo,clear,0.547656119,745.8531494,434.8814697,878.4486084,526.6242065
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Jio_jersey_shoulder_logo_clear,Jio,jersey,shoulder_logo,clear,0.535347283,712.5093994,304.335083,801.3240967,367.6765137
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Jio_jersey_shoulder_logo_partially_visible,Jio,jersey,shoulder_logo_partially,visible,0.343084842,714.8330688,304.053772,800.5258179,367.0512695
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,RayzonSolar_trousers_logo_clear,RayzonSolar,trousers,logo,clear,0.312717319,742.2407227,435.5141602,878.078125,531.559021
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AvonCycles_trousers_logo_partially_visible,AvonCycles,trousers,logo_partially,visible,0.31185177,743.7733154,435.5791016,879.1726074,530.6240845
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_sleeve_logo_partially_visible,AllSeasons,jersey,sleeve_logo_partially,visible,0.110756278,503.0427551,222.5867767,577.5974121,305.1136475
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.101790421,670.7907715,335.8493042,776.043335,426.2251587
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,KentMineralRO_jersey_chest_logo_obstructed,KentMineralRO,jersey,chest_logo,obstructed,0.193291441,608.6138916,615.4671631,673.2318115,681.5701904
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_partially_visible,Dream11,jersey,chest_logo_partially,visible,0.182846785,554.6568604,649.9880371,748.3382568,769.4841309
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Jio_jersey_shoulder_logo_clear,Jio,jersey,shoulder_logo,clear,0.31428951,782.4942627,370.8638611,856.4959717,428.42099
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_obstructed,Dream11,jersey,chest_logo,obstructed,0.100248754,736.3505859,398.013855,829.8005371,469.7711792
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.988524735,747.5595703,441.9541016,816.692627,487.1829834
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_sleeve_logo_blurry,AllSeasons,jersey,sleeve_logo,blurry,0.820092261,712.6473999,406.1267395,799.2802124,466.6400452
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.803487837,717.3153076,409.4352722,818.4542236,484.0914612
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.700504005,746.317688,424.9169922,818.381897,493.0040894
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_chest_logo_clear,AllSeasons,jersey,chest_logo,clear,0.554113507,712.477417,407.1784668,797.2629395,468.1290894
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.336196333,712.7105713,409.1051025,802.3885498,468.7630615
